Symptom,Variation,Patient Description
jaundice,4,"“It’s just… my skin’s been getting this weird yellow tinge lately. It’s mostly around my eyes and feels a little itchy, too. It’s not constant, but it’s definitely noticeable, especially in the evenings.”"
mass in scrotum,1,"“It’s… it’s just kind of there. Down there. Like a hard lump, you know? It wasn’t really noticeable at first, but it’s gotten bigger over the last couple of weeks. It doesn’t really hurt, just feels… different.”"
mass in scrotum,2,"“It’s just… there’s this lump. Down there. It wasn’t there last week, and it’s gotten a bit bigger, kind of hard to the touch. It’s not painful, but it’s just… unsettling.”"
mass in scrotum,3,"“It’s just… there’s this lump. Down there. I’ve been feeling it for maybe a couple of weeks now, and it’s gotten a little bigger, I think. It’s hard to describe, but it feels… different than the other stuff.”"
mass in scrotum,4,"“It’s…it’s just kind of there. This lump, you know? Down here. It feels…different than the rest of my testicles. It’s not hard like they used to be, it’s softer, and it’s kind of raised. It's been there for maybe a couple of weeks, and I just started to notice it more.”"
white discharge from eye,1,"“It’s just…this weird stuff. For about a week now, I’ve been noticing this white discharge from my eye, especially in the morning. It’s not a lot, but it’s there, and it’s kind of worrying me.”"
white discharge from eye,2,"“It’s just… this weird stuff. It started a few days ago, and it’s coming from my left eye. It’s like a milky, white discharge, and it’s getting worse. It’s really annoying, and I keep rubbing my eye, but it just comes back.”"
white discharge from eye,3,"“It’s just… this weirdness around my eye. Like, sometimes when I blink, there’s this sort of… slickness. It’s not crusty, just this milky stuff coming out. It’s mostly in the morning, and it’s getting a little worrying, to be honest.”"
white discharge from eye,4,"“It’s just… this weird film. Like, I wipe my eyes and there’s this milky stuff left behind. It’s not a lot, but it’s persistent, and it’s making me really worried.”"
irritable infant,1,"“It’s just… he’s been so incredibly fussy lately. Like, constantly. He’s a really good baby most of the time, but for the last few weeks, he’s just screaming and crying for no apparent reason. It’s exhausting, and I’m starting to feel really overwhelmed.”"
irritable infant,2,"“He’s just… impossible, really. He’s constantly screaming, especially when I try to put him down, and it’s not like a normal fuss. It’s this full-blown, red-faced, wailing thing that just goes on and on. I’ve tried everything – different foods, different positions, even calming music, but nothing seems to soothe him for more than a few minutes.”"
irritable infant,3,"“Honestly, it’s just… relentless. He screams for no reason, just starts crying and it’s so sudden. It’s completely exhausting, and I don’t know what’s upsetting him because he won’t calm down when I try to soothe him.”"
irritable infant,4,"“He’s just… incredibly difficult. Like, constantly. It’s like he’s actively trying to push my buttons. I’m barely getting a moment to myself, and he’s screaming for no apparent reason, then crying if I even look at him funny. It’s exhausting, honestly.”"
abusing alcohol,1,"“It’s gotten pretty out of control, honestly. I just… I can’t seem to stop. I’ve been drinking almost every night, and I feel terrible the next day. It’s impacting my work, my relationships… I know I’m abusing alcohol, and I really need help.”"
abusing alcohol,2,"“It’s just… it’s gotten so out of control. I don’t even really *want* to, you know? But I find myself drinking almost every night, and I just can’t seem to stop. I feel terrible about it, truly, but I’ve been abusing alcohol and I don’t know how to make it stop.”"
abusing alcohol,3,"“It’s just… gotten out of control, really. I find myself reaching for a drink pretty much every evening, and it’s not like I’m trying to get wasted, but I’m drinking more than I should. It’s messing up my sleep, and I’m just… irritable all the time. I feel awful about it, but I can’t seem to stop.”"
abusing alcohol,4,"“It’s just… it’s gotten out of control, really. I don’t even really think about it before I do it, you know? I’ll just start drinking, and it just spirals. It’s happening more and more often, and I feel awful afterward, but I can't seem to stop. I’ve lost track of how many times I’ve done it this month.”"
fainting,1,"“It’s just…really sudden. Like, one minute I’m standing in the kitchen, and the next I’m just…gone. I hit the floor. It’s happened three times in the last month, always when I’m stressed or tired, and it’s terrifying.”"
fainting,2,"“It’s kind of hard to explain, but mostly when I’m really stressed, like after a long meeting at work, I just… lose my balance. It’s like the world goes blurry, and I’m suddenly on the floor. It’s only for a few seconds, but it’s really unsettling.”"
fainting,3,"“It just… happens. Usually when I’m really stressed, like at work. One minute I’m talking to a colleague, and the next, I’m just… gone. Like I’ve lost my balance and everything goes dark. It only lasts a few seconds, but it’s really unsettling.”"
fainting,4,"“It just…comes on. Usually when I’m really stressed, like at work, and my vision gets blurry and then everything goes dark. I feel like I’m about to fall, and then I just sort of collapse. It’s terrifying, honestly.”"
